pc11_state_id,pc11_district_id,pc11_subdistrict_id,facebook_pop_sum,facebook_pop_num_cells
24,472,03765,240095.72403314884,20835.94416120751
24,472,03766,370994.9602723013,37794.34293972072
24,472,03767,216718.1791358757,19855.45956806041
24,472,03768,156821.34358153027,18605.347607488977
24,472,03769,287346.48471553874,25558.002257055472
24,472,03770,139810.39556226585,11187.904151148256
24,472,03771,98732.85089929268,10291.607580186128
24,472,03772,191104.63680332145,19949.696160776228
24,473,03773,362592.8505951853,35326.040497560934
24,473,03774,259103.78839477923,18126.580311302736
24,473,03775,475257.70581853343,54292.948720624
24,473,03776,221606.66875983615,29265.131977089404
24,474,03777,101992.76178559156,7749.485158908821
24,474,03778,87832.03098773987,6948.034327818328
24,474,03779,225601.0437211448,13120.752644889464
24,474,03780,254542.238835306,40042.86660818646
24,474,03781,6745345.492999617,133308.05991557625
24,474,03782,356072.9121931075,37334.04878957925
24,474,03783,298341.4627724517,19766.215439979696
24,474,03784,222296.28765523504,16200.937434826512
24,474,03785,102089.31813347414,8687.977817332692
24,474,03786,103700.47631861172,6548.026440446265
24,474,03787,180047.25271460242,10506.66329054485
24,475,03788,181512.04129587236,28002.678117626
24,475,03789,242111.9853124644,27130.023337939085
24,475,03790,200140.82977128107,16137.55780309069
24,475,03791,64120.35709521802,5758.2525653243065
24,475,03792,353821.6612689005,23048.888931573005
24,475,03793,180338.9899504843,15653.98499707276
24,475,03794,244989.39789839205,30298.529389601
24,475,03795,202669.02521800617,17872.235350022125
24,475,03796,128200.59949006818,7088.011078499258
24,475,03797,170784.25836940034,10428.480678051012
24,476,03798,66250.10744746585,6367.842690474266
24,476,03799,426886.43983551353,44572.69797182467
24,476,03800,106378.51176068452,14375.245470642913
24,476,03801,289696.44138365745,34095.960740123584
24,476,03802,85134.50528787321,14126.9728740842
24,476,03803,1444438.41117146,62839.13809346239
24,476,03804,137527.6236345063,16537.404646639967
24,476,03805,238728.45691142895,16976.95804848568
24,476,03806,397691.0066094928,45294.85711833485
24,476,03807,377541.5408589826,36775.1776707331
24,476,03808,82969.73477593511,13487.192626438162
24,476,03809,230555.69428087617,16481.874058444984
24,476,03810,162021.5709786247,12545.817778687924
24,476,03811,286826.95288314845,26393.00659092361
24,477,03812,191515.86743097985,14588.546250802188
24,477,03813,315598.67359734525,34658.336847869425
24,477,03814,933249.4631775788,55070.17273621276
24,477,03815,91335.99780507048,10680.313241358846
24,477,03816,72166.92091826552,13139.895573937029
24,477,03817,143616.4445881795,26435.95841035394
24,477,03818,141892.56208257985,31295.685048063613
24,477,03819,225674.20917419708,30191.84574559308
24,477,03820,144044.53336313475,18050.558867889253
24,477,03821,119331.6872071075,18245.07584579516
24,478,03822,441652.893009493,38678.175606558376
24,478,03823,108492.4503066855,14836.131621331531
24,478,03824,86317.55293112031,10598.651230253628
24,479,03825,127160.7387343361,14533.189059515717
24,479,03826,112846.66101257812,11059.491458222732
