pc11_district_id,pc11_state_id,facebook_pop_sum,facebook_pop_num_cells
151,09,2360761.815813348,93756.74399055836
152,09,3444859.923358432,102644.14315186228
153,09,4734037.458390275,171477.4111677409
154,09,5316316.806809687,177266.92926686705
155,09,4663786.402885743,153308.81397145326
156,09,3535967.078355044,137631.19494148175
157,09,5693334.361214306,240934.4573384376
158,09,3991842.8618531446,198199.48135207832
159,09,2132610.842247365,65775.59201126985
160,09,1902520.793084229,67633.41908641848
161,09,1800333.632732115,66927.84553569581
162,09,1568037.963644146,56970.42024561715
163,09,1965444.3858506388,72087.94047977697
164,09,4833367.571606547,137743.3803343582
165,09,1882847.261487451,82176.55078040936
166,09,2137682.2135452563,127174.8255205761
167,09,1473773.291713599,104547.09696951928
168,09,1233758.056124151,58831.5636080347
169,09,1046354.9116061592,52590.87469842628
170,09,2027296.105050308,104501.35756463524
171,09,1263908.9953132372,53879.00907253136
172,09,2905989.871258502,108005.58398993536
173,09,3720726.240121334,178981.7505221354
174,09,1898743.2682666092,48329.83941939766
175,09,7063346.583628039,312992.0172303928
176,09,3714680.640135098,135440.4322094237
177,09,3076507.17604369,142735.84111134283
178,09,2840974.679226045,115995.99008913052
179,09,4298243.961861111,200325.75110382304
180,09,4129075.441584818,145596.49456912413
181,09,1392738.627107876,51187.24717914056
182,09,2621638.5886484142,95671.64867735768
183,09,3918747.789979864,125397.5285230082
184,09,3189374.882988822,121916.93116708948
185,09,2650484.098721064,115641.00696992388
186,09,1953262.239751977,100660.06230082623
187,09,3367861.545537529,135122.97412577533
188,09,4960301.265846405,247828.28599245255
189,09,4220548.018560193,177017.40791119213
190,09,3178530.205692583,175158.578974578
191,09,5077652.8455078965,275882.04965366924
192,09,2398691.186068249,128588.314354202
193,09,3594917.985823868,187422.96653221795
194,09,4910206.064253738,371388.97567674186
195,09,4069473.339876998,212643.45023956857
196,09,2144552.5960583137,159811.5894294505
197,09,4238624.577926808,273556.1355153417
198,09,1786896.8031990144,121847.6946003685
199,09,2996825.9104467267,178754.75930529766
200,09,2269447.280343426,216968.04006501837
201,09,2033298.1623663583,78518.30319425873
202,09,1600474.3359631775,59576.46926402309
056,05,390629.9164707808,41567.25207697539
057,05,399961.9223104547,37722.98435394718
058,05,245169.70720129364,20270.185820187195
059,05,638500.044134655,63212.50447466763
060,05,2122305.192032581,183290.28309640344
061,05,709740.0900948104,84232.52717363401
062,05,492359.86525428295,53207.4329872134
063,05,258919.4879120849,33326.81753104941
064,05,600035.6448692222,65414.85513272775
065,05,294812.88520087133,32808.997903959855
066,05,1124689.6388865218,129122.35728437763
067,05,2107882.4046746967,156074.11252986142
068,05,2323980.3131143665,104334.0841748764
327,19,2054085.6627622591,134005.2715167761
328,19,4135651.330639214,220089.92049851205
329,19,3270494.425184234,168253.4292283979
330,19,3254991.1285887314,136601.93352173886
331,19,1808242.9663989863,80549.26123873117
332,19,4270891.051614962,171518.66795424378
333,19,8214486.956943102,332872.19152706244
334,19,4036815.074512193,226929.5636405908
335,19,8486505.595051743,406321.3360183156
336,19,5245876.235237487,220667.3078960632
337,19,10080146.440093972,326077.843080408
338,19,5866105.357941648,250464.98560717792
339,19,3855422.180867905,207975.4287018922
340,19,3325356.1075817635,179490.69704353117
341,19,4320654.919168861,160645.9667753322
342,19,4999185.214891538,80787.6555701641
343,19,10562100.235936724,445148.05748131423
344,19,6559403.64278241,326921.0434869594
