ac07_id,facebook_pop_sum,facebook_pop_num_cells
2007-28-141,290294.29536850814,27779.73873892292
2007-28-142,347653.2493590728,42664.14425611493
2007-12-041,9843.275081786676,3325.898415638134
2007-12-034,19391.36378499856,5373.0
2007-12-033,13868.302150994035,4677.353852450848
2007-12-032,14496.499679703713,3816.513301908155
2007-12-040,17131.86122569474,2599.636059835553
2007-12-022,11361.203817500113,1430.393940269947
2007-12-043,21871.397761771103,4719.551246906281
2007-12-023,43288.1119864241,2063.6867752224207
2007-12-042,35470.25566184492,8203.292141157814
2007-12-035,18157.25501497752,3939.3639401159016
2007-12-045,23544.119604996915,5038.0
2007-12-027,13437.599565158647,3121.1496101021767
2007-12-021,51320.91206699662,2660.0
2007-12-039,12282.113086617195,3239.963682238187
2007-12-038,35806.25995946541,8388.950317967334
2007-12-024,37556.93401693984,3521.293908931315
2007-12-030,6092.354362810089,1696.6710303414147
2007-12-031,32437.989021913083,8251.312205412425
2007-12-044,42906.3677254344,8272.146159685217
2007-12-020,37721.50437985838,723.0116569730453
2007-12-026,21260.84489220534,3756.429067664747
2007-12-029,23318.316695743928,5910.048505643383
2007-12-037,32669.231546703304,9595.11766959554
2007-12-036,6683.654555971698,1654.9655299353765
2007-12-025,25831.50561963635,2605.857615763729
2007-12-019,28431.63083532815,2007.992068707943
2007-12-018,64863.849423886175,3537.298971313372
2007-12-008,16995.927173867723,1691.4097004905343
2007-12-009,12097.022737584124,912.6532608419656
2007-12-007,18749.682506164827,3029.468187961029
2007-12-028,15180.141718838706,7028.959660018471
2007-12-003,7392.596276981548,846.771854519844
2007-12-046,34990.473235170975,5823.741275581066
2007-12-047,52804.8686890502,6655.438925275506
2007-12-001,13998.668127029512,2965.1478304248303
2007-12-004,27239.785489736267,4783.939650878794
2007-12-002,36614.98990238216,7633.141998883337
2007-12-016,54561.58565962727,5571.712427714581
2007-12-050,23263.67784249487,4024.3426766823977
2007-12-048,36553.12180195061,4884.504019907196
2007-12-049,93591.65588492816,12586.992672148554
2007-12-017,34858.29963151454,3475.621415763153
2007-12-015,26739.532190844824,3778.9355414658794
2007-12-014,85006.67612781683,15563.97751982788
2007-12-010,32981.31936157135,2261.6273897710817
2007-12-011,22425.44320540394,2167.4774928488187
2007-12-051,23165.162175088517,3229.1106012838427
2007-12-005,34272.22568432594,6078.277267644415
2007-12-053,25220.066644236853,2091.7825420051813
2007-12-054,13484.17711557072,1290.3529690504074
2007-12-052,2921.8967790781307,336.40618888591416
2007-12-013,131854.59359791983,16121.081307564804
2007-12-055,7985.229923900955,1010.0248997053131
2007-12-058,16263.344087357067,1357.1152805435704
2007-12-057,20099.31235909131,2964.999818980694
2007-12-056,11256.085456352695,1489.9751003265849
2007-12-059,34255.615733489525,2250.491578880697
2007-12-060,15002.031696598193,1347.5047739124857
2007-18-126,300020.68366706016,35118.75928424244
2007-18-114,396974.54708242696,44465.58654776191
2007-18-121,172793.8517768444,18361.51202060931
2007-18-116,19718.568464368625,2231.501879940988
2007-18-124,411588.3728357069,42111.50445329398
2007-18-125,171496.92100840755,14271.54234856795
2007-18-117,295468.2051867527,31298.259024607192
2007-18-113,380606.08363176655,49273.95175027636
2007-18-123,187617.81817785357,19509.423992838845
2007-18-122,294734.4455097448,33066.92828247241
2007-18-118,316558.73328013136,30419.024921138614
2007-18-115,261483.58571202,28561.583144776545
2007-18-111,135273.5496318725,16653.886132861135
2007-18-112,212690.48905252037,22395.808188979063
2007-18-119,214819.5284998126,21455.03967297102
2007-18-110,486505.4894696921,48078.247915424174
2007-18-120,239887.4596343453,19205.73971316778
2007-18-107,159488.08774033427,14818.037131544246
2007-18-105,234205.45810928012,22917.776369413365
2007-18-099,180662.4852603403,16408.74270342591
2007-18-106,277968.5164240826,28995.05465550898
2007-18-109,250819.11434343865,31428.61332420246
2007-18-108,181218.0353108497,21818.77888400068
2007-18-103,198098.6027207657,18369.30445192545
2007-18-074,244092.33518298992,34571.92067969212
2007-18-071,358287.21181720373,35698.078119876795
2007-18-104,229736.52648703023,22870.41457003134
2007-18-078,263610.5855408147,35968.838548798754
2007-18-102,127592.10206632131,14161.817313342704
2007-18-077,246133.76559007156,27695.1137570641
2007-18-031,285088.9910277555,40660.72865254613
2007-18-075,196134.8860024663,22516.92226709446
2007-18-070,428798.89945184055,34974.42523492342
2007-18-069,239913.12143104564,23363.524447913733
2007-18-064,202503.2416464296,22844.569083222043
2007-18-030,233489.31196890297,32494.66299044284
2007-18-098,191841.9462061285,20339.92918491864
2007-18-076,242077.99800338448,26844.108764589397
2007-18-097,208589.2287461262,15153.090066278182
2007-18-101,165119.32897711353,15941.555479182574
2007-18-062,178251.1749443747,19684.02046307516
2007-18-041,165908.8417638007,20062.68711178529
2007-18-063,296349.3052910397,28169.946209757327
2007-18-058,333347.1813617653,31469.650628948817
2007-18-033,257213.3952502584,22179.931212064228
2007-18-040,252201.6923965677,27179.913064946828
2007-18-093,267704.73471309786,35764.22144169903
2007-18-028,345197.96978439786,39813.04962715088
2007-18-072,273415.42650707974,26196.503243032883
2007-18-096,309310.21106863103,37874.264153100514
2007-18-073,371881.6406466498,30520.933285806797
2007-18-100,329354.1849298578,22219.80892557013
2007-18-089,320616.153142282,22663.367449378733
2007-18-042,208392.23512449703,26144.91724483599
2007-18-068,360031.2410162141,25493.981883026427
2007-18-065,220659.5527337901,33531.59066083125
2007-18-056,358433.67660857463,30298.87269026836
2007-18-032,278684.6440280806,30204.440370305358
2007-18-017,259562.2848225231,48598.59076416037
2007-18-029,228889.3443703633,22236.103977779465
2007-18-059,386540.0147230934,25083.434918840467
2007-18-057,160747.13788635127,17026.39698876751
2007-18-088,209931.6232861921,11316.732547240475
2007-18-094,352425.9147221743,62766.87586106849
2007-18-018,192050.49664590185,22892.25457169553
2007-18-043,281293.72294497147,30202.24253615761
2007-18-061,198427.0020648018,21690.02099952533
2007-18-034,366656.670497509,26560.58484204438
2007-18-067,256635.3149375017,24513.536045532222
2007-18-095,271686.0469658466,28290.03140962796
2007-18-085,264216.461352166,19604.462407759653
2007-18-066,242798.1752770708,36430.51173088305
2007-18-083,352274.49526546843,19215.775952369877
2007-18-081,316748.3948611485,21352.36241064589
2007-18-044,419402.64014485065,38523.04627655447
2007-18-046,250747.83588638276,25210.964093212067
2007-18-084,243290.471800616,12827.705344730755
2007-18-027,404684.7024953999,35151.60362712122
2007-18-035,271985.01098597003,17999.413739248994
2007-18-060,375259.6317461721,29977.019530612677
2007-18-055,97152.10962608187,21779.16884188838
2007-18-086,225989.61946106315,15079.268342832152
2007-18-080,289755.9495475594,19134.55651414013
2007-18-087,337301.0138479368,20501.394336643352
2007-18-025,335121.1202923835,31374.37398266154
2007-18-019,250668.5769844014,43134.83789615808
2007-18-047,341150.39758584247,21264.762393023902
2007-18-051,117455.90889325304,18705.011964171517
2007-18-024,374498.2615263165,23994.11908189332
2007-18-026,358957.3877360325,25238.592944713266
2007-18-079,418783.480374385,35761.45605145187
2007-18-082,348411.73395009484,24673.744087970343
2007-18-045,247092.50097342493,24874.187668560404
2007-18-052,416353.00789023616,36533.585393126734
2007-18-038,273814.09713858686,26498.439161932834
2007-18-037,382610.40419058217,27370.99344432433
2007-18-054,203849.6847354805,20148.249831558656
2007-18-053,795159.5245951714,46368.01085736816
2007-18-090,356075.79143926845,28000.602988133964
2007-18-049,354421.5235205452,31738.73429859657
2007-18-048,309742.11544375937,40505.41329454204
2007-18-039,126440.29074970036,13670.806242380711
